Codigo IATA,Descripcion del codigo,Estado ,Aniomes,Tipo Combustible,Litros de combustible suministrado,Servicios realizados
ACA,Acapulco,Guerrero,201501,Turbosina,1661674,757
AGU,Aguascalientes,Aguascalientes,201501,Turbosina,1557391,502
BJX,El Bajio,Guanajuato,201501,Turbosina,3975683,1124
CEN,Ciudad Obregon,Sonora,201501,Turbosina,641425,240
CJS,Ciudad Juarez,Chihuahua,201501,Turbosina,2032172,502
CME,Ciudad Del Carmen,Campeche,201501,Turbosina,2466576,653
CLQ,Colima,Colima,201501,Turbosina,336077,163
CPE,Campeche,Campeche,201501,Turbosina,571376,187
CTM,Chetumal,Quintana Roo,201501,Turbosina,425045,109
CUL,Culiacan,Sinaloa,201501,Turbosina,3037601,816
CUN,Cancun,Quintana Roo,201501,Turbosina,72948856,6553
CUU,Chihuahua,Chihuahua,201501,Turbosina,2450726,834
CVJ,Cuernavaca,Morelos,201501,Turbosina,118665,106
CVM,Ciudad Victoria,Tamaulipas,201501,Turbosina,205869,191
CZM,Cozumel,Quintana Roo,201501,Turbosina,1809094,432
DGO,Durango,Durango,201501,Turbosina,657824,357
GDL,Guadalajara,Jalisco,201501,Turbosina,23707321,4370
GYM,Guaymas,Sonora,201501,Turbosina,48175,49
HMO,Hermosillo,Sonora,201501,Turbosina,3244029,1151
HUX,Huatulco,Oaxaca,201501,Turbosina,2034092,361
LAP,La Paz,Baja California Sur,201501,Turbosina,1612308,451
LMM,Los Mochis,Sinaloa,201501,Turbosina,816657,291
LTO,Loreto,Baja California Sur,201501,Turbosina,81834,60
LZC,Lazaro Cardenas,Michoacan,201501,Turbosina,56207,67
MAM,Matamoros,Tamaulipas,201501,Turbosina,233925,204
MEX,Mexico,Distrito Federal,201501,Turbosina,126689836,17865
MID,Merida,Yucatan,201501,Turbosina,4141358,1022
MLM,Morelia,Michoacan,201501,Turbosina,1718233,446
MTT,Minatitlan,Veracruz,201501,Turbosina,462289,221
MTY,Monterrey,Nuevo Leon,201501,Turbosina,16075635,4673
MXL,Mexicali,Baja California,201501,Turbosina,1470946,327
MZT,Mazatlan,Sinaloa,201501,Turbosina,2355395,593
NLD,Nuevo Laredo,Tamaulipas,201501,Turbosina,214953,75
NOG,Nogales,Sonora,201501,Turbosina,6384,13
OAX,Oaxaca,Oaxaca,201501,Turbosina,1325673,570
PAZ,Poza Rica,Veracruz,201501,Turbosina,121999,194
PBC,Puebla,Puebla,201501,Turbosina,1026011,436
PCA,Pachuca,Hidalgo,201501,Turbosina,33746,32
PPE,Puerto Penasco,Sonora,201501,Turbosina,10537,25
PQM,Palenque,Chiapas,201501,Turbosina,51200,19
PVR,Puerto Vallarta,Jalisco,201501,Turbosina,14854899,1786
PXM,Puerto Escondido,Oaxaca,201501,Turbosina,315477,166
QRO,Queretaro,Queretaro,201501,Turbosina,2314915,883
REX,Reynosa,Tamaulipas,201501,Turbosina,942335,351
SJD,San Jose Del Cabo,Baja California Sur,201501,Turbosina,9785055,1586
SLP,San Luis Potosi,San Luis Potosi,201501,Turbosina,1390614,753
TAM,Tampico,Tamaulipas,201501,Turbosina,977536,531
TAP,Tapachula,Chiapas,201501,Turbosina,691982,192
TCN,Tehuacan,Puebla,201501,Turbosina,12879,11
TGZ,Tuxtla Gutierrez,Chiapas,201501,Turbosina,2348217,574
TIJ,Tijuana,Baja California,201501,Turbosina,13975215,1820
TLC,Toluca,Estado De Mexico,201501,Turbosina,6218136,2620
TSL,Tamuin,San Luis Potosi,201501,Turbosina,6169,14
TPQ,Tepic,Nayarit,201501,Turbosina,270317,137
TRC,Torreon,Coahuila,201501,Turbosina,1183719,545
UPN,Uruapan,Michoacan,201501,Turbosina,391294,91
VER,Veracruz,Veracruz,201501,Turbosina,2313111,1231
VSA,Villahermosa,Tabasco,201501,Turbosina,2639926,803
ZCL,Zacatecas,Zacatecas,201501,Turbosina,802574,271
ZIH,Zihuatanejo,Guerrero,201501,Turbosina,2474034,503
ZLO,Manzanillo,Colima,201501,Turbosina,1202721,311
ACA,Acapulco,Guerrero,201501,Gasavion,37529,403
AGU,Aguascalientes,Aguascalientes,201501,Gasavion,9109,45
BJX,El Bajio,Guanajuato,201501,Gasavion,8371,51
CEN,Ciudad Obregon,Sonora,201501,Gasavion,119185,199
CJS,Ciudad Juarez,Chihuahua,201501,Gasavion,8518,41
CME,Ciudad Del Carmen,Campeche,201501,Gasavion,3519,16
CLQ,Colima,Colima,201501,Gasavion,44866,63
CPE,Campeche,Campeche,201501,Gasavion,3883,16
CTM,Chetumal,Quintana Roo,201501,Gasavion,11095,48
CUL,Culiacan,Sinaloa,201501,Gasavion,232415,622
CUN,Cancun,Quintana Roo,201501,Gasavion,12530,60
CUU,Chihuahua,Chihuahua,201501,Gasavion,89432,243
CVJ,Cuernavaca,Morelos,201501,Gasavion,40469,421
CVM,Ciudad Victoria,Tamaulipas,201501,Gasavion,13118,77
CZM,Cozumel,Quintana Roo,201501,Gasavion,19681,128
DGO,Durango,Durango,201501,Gasavion,35690,213
GDL,Guadalajara,Jalisco,201501,Gasavion,149729,460
GYM,Guaymas,Sonora,201501,Gasavion,33782,132
HMO,Hermosillo,Sonora,201501,Gasavion,81952,379
HUX,Huatulco,Oaxaca,201501,Gasavion,2030,11
LAP,La Paz,Baja California Sur,201501,Gasavion,23120,56
LMM,Los Mochis,Sinaloa,201501,Gasavion,92946,193
LTO,Loreto,Baja California Sur,201501,Gasavion,8967,41
LZC,Lazaro Cardenas,Michoacan,201501,Gasavion,1093,7
MAM,Matamoros,Tamaulipas,201501,Gasavion,1092,10
MEX,Mexico,Distrito Federal,201501,Gasavion,22000,2
MID,Merida,Yucatan,201501,Gasavion,22939,136
MLM,Morelia,Michoacan,201501,Gasavion,8302,57
MTT,Minatitlan,Veracruz,201501,Gasavion,2866,12
MTY,Monterrey,Nuevo Leon,201501,Gasavion,92076,11
MXL,Mexicali,Baja California,201501,Gasavion,38403,93
MZT,Mazatlan,Sinaloa,201501,Gasavion,280125,60
NLD,Nuevo Laredo,Tamaulipas,201501,Gasavion,2405,15
NOG,Nogales,Sonora,201501,Gasavion,9780,41
OAX,Oaxaca,Oaxaca,201501,Gasavion,10630,77
PAZ,Poza Rica,Veracruz,201501,Gasavion,2397,18
PBC,Puebla,Puebla,201501,Gasavion,22698,233
PCA,Pachuca,Hidalgo,201501,Gasavion,9534,50
PPE,Puerto Penasco,Sonora,201501,Gasavion,29868,90
PQM,Palenque,Chiapas,201501,Gasavion,0,0
PVR,Puerto Vallarta,Jalisco,201501,Gasavion,21359,116
PXM,Puerto Escondido,Oaxaca,201501,Gasavion,5524,44
QRO,Queretaro,Queretaro,201501,Gasavion,27376,199
REX,Reynosa,Tamaulipas,201501,Gasavion,23434,42
SJD,San Jose Del Cabo,Baja California Sur,201501,Gasavion,4983,13
SLP,San Luis Potosi,San Luis Potosi,201501,Gasavion,19368,75
TAM,Tampico,Tamaulipas,201501,Gasavion,19316,112
TAP,Tapachula,Chiapas,201501,Gasavion,174442,175
TCN,Tehuacan,Puebla,201501,Gasavion,3645,30
TGZ,Tuxtla Gutierrez,Chiapas,201501,Gasavion,17812,56
TIJ,Tijuana,Baja California,201501,Gasavion,25712,107
TLC,Toluca,Estado De Mexico,201501,Gasavion,35942,240
TSL,Tamuin,San Luis Potosi,201501,Gasavion,1005,8
TPQ,Tepic,Nayarit,201501,Gasavion,9078,41
TRC,Torreon,Coahuila,201501,Gasavion,11179,53
UPN,Uruapan,Michoacan,201501,Gasavion,27545,86
VER,Veracruz,Veracruz,201501,Gasavion,31785,108
VSA,Villahermosa,Tabasco,201501,Gasavion,44352,32
ZCL,Zacatecas,Zacatecas,201501,Gasavion,6072,24
ZIH,Zihuatanejo,Guerrero,201501,Gasavion,10064,66
ZLO,Manzanillo,Colima,201501,Gasavion,58475,31
ACA,Acapulco,Guerrero,201502,Turbosina,1705727,695
AGU,Aguascalientes,Aguascalientes,201502,Turbosina,1333910,454
BJX,El Bajio,Guanajuato,201502,Turbosina,3366388,969
CEN,Ciudad Obregon,Sonora,201502,Turbosina,565311,218
CJS,Ciudad Juarez,Chihuahua,201502,Turbosina,1814848,424
CME,Ciudad Del Carmen,Campeche,201502,Turbosina,2296703,596
CLQ,Colima,Colima,201502,Turbosina,395935,196
CPE,Campeche,Campeche,201502,Turbosina,528770,190
CTM,Chetumal,Quintana Roo,201502,Turbosina,372581,122
CUL,Culiacan,Sinaloa,201502,Turbosina,2683281,747
